asin,price,rating,number_of_reviews,bullet_points,seller_rank
B0B3C76P69,    Currently unavailable.   ,4.4 out of 5 stars,137 ratings," SUPERCHARGED BY M2 — The 13-inch MacBook Pro laptop is a portable powerhouse. Get more done faster with a next-generation 8-core CPU, 10-core GPU and up to 24GB of unified memory.  ",
B09MMW3296,       ,4.6 out of 5 stars,31 ratings, ,"
        "
B09NZTW2BB,"1,099",4.4 out of 5 stars,8 ratings, ,"
        "
B093HMYQDP,499,4.2 out of 5 stars,19 ratings, ,"
        "
B08JQJ5RKK,619,4.3 out of 5 stars,586 ratings, ,"
        "
B09VS7971V,    Currently unavailable.   ,4.2 out of 5 stars,15 ratings, ,"
        "
B0B7KJMJ97,391,,, ,"#3,909 in Computers & Accessories ("
B091WR26F4,665,4.3 out of 5 stars,545 ratings, ,"
        "
B09R63Z5L7,699,4.6 out of 5 stars,115 ratings, ,"
        "
B0B3556W84,679,5.0 out of 5 stars,1 rating, ,"
        "
B08H4YTTLP,       ,4.5 out of 5 stars,"1,031 ratings", ,"
        "
B09PJPV6WY,772,4.7 out of 5 stars,9 ratings, ,"
        "
B084SKWC89,216,4.5 out of 5 stars,"1,717 ratings", ,"
        "
B07RF1XD36,216,4.6 out of 5 stars,"35,200 ratings", ,"
        "
B00Q7G53TO,       ,3.3 out of 5 stars,3 ratings, ,"
        "
B09FXLRBFQ,283,4.5 out of 5 stars,511 ratings, ,"
        "
B09T35Z1QY,       ,4.1 out of 5 stars,7 ratings, ,"
        "
B0B78CVBNW,       ,,, ,"#52,465 in Computers & Accessories ("
B09FXFDGN3,485,4.4 out of 5 stars,"2,506 ratings", ,"
        "
B0B8KMLJ6W,979,4.4 out of 5 stars,35 ratings, ,"
        "
B0B44HXL88,283,5.0 out of 5 stars,2 ratings, ,"
        "
B09HVC79PC,351,4.6 out of 5 stars,"1,743 ratings", ,"
        "
B0949SGBF8,       ,4.4 out of 5 stars,391 ratings, ,"
        "
B09S5X4RZM,       ,2.4 out of 5 stars,3 ratings, ,"
        "
