asin,price,rating,number_of_reviews,bullet_points,seller_rank
B01LWZF09F,22,4.6 out of 5 stars,2 ratings, ,"#966,651 in Toys & Games ("
B08NC3C8L1,    Currently unavailable.   ,5.0 out of 5 stars,2 ratings, ,"#812,258 in Toys & Games ("
B078XHBSLT,2,4.7 out of 5 stars,"1,068 ratings", ,"#12,535 in Toys & Games ("
B08LSBJ57J,    Currently unavailable.   ,5.0 out of 5 stars,1 rating, ,"#1,052,464 in Toys & Games ("
B087FDCD79,    Currently unavailable.   ,4.0 out of 5 stars,1 rating, ,"#991,832 in Toys & Games ("
B01LZ9BO87,       ,5.0 out of 5 stars,1 rating, ,"#988,622 in Toys & Games ("
B089D1JZ9R,13,,,,
B08BFXYGMT,       ,,, ,
B08BFZD28R,       ,,, ,
B08KMLGVYN,    Currently unavailable.   ,,, ,"#974,432 in Toys & Games ("
B08L4TKPD8,    Currently unavailable.   ,,, ,"#1,051,737 in Toys & Games ("
B08BHP37TB,       ,,, ,
B08BHPF646,       ,,, ,
B0092ZAYLO,18,4.6 out of 5 stars,761 ratings, ,"#33,473 in Toys & Games ("
B08BHRDQN9,       ,,, ,
B08BHXZRTK,       ,,, ,
B08BHTM7CH,       ,,, ,
B0916WPFF7,       ,,, ,
B000JMCPAC,11,4.0 out of 5 stars,1 rating, ,"#1,239,253 in Toys & Games ("
B008RQV6PC,       ,4.0 out of 5 stars,1 rating, ,"#1,202,580 in Toys & Games ("
B09N97T2HK,       ,,, ,"#1,232,275 in Toys & Games ("
B01M17E5TH,       ,5.0 out of 5 stars,5 ratings, ,"#807,547 in Toys & Games ("
B08K4T85WN,    Currently unavailable.   ,,, ,"#1,147,247 in Toys & Games ("
B08KN3J9BG,    Currently unavailable.   ,,, ,"#1,102,697 in Toys & Games ("
B0B5LYHJXC,    Currently unavailable.   ,,, ,"#1,043,400 in Toys & Games ("
B01LYA7UZG,       ,5.0 out of 5 stars,1 rating, ,"#953,834 in Toys & Games ("
B08NPXGW17,       ,,, ,
B08KYF2W45,    Currently unavailable.   ,2.0 out of 5 stars,1 rating, ,"#896,059 in Toys & Games ("
B089T8ZHQL,       ,,, ,
B089RZ3421,       ,,, ,
B08NPZSSG7,       ,,, ,
B08KNCWBPG,    Currently unavailable.   ,,, ,"#941,165 in Toys & Games ("
B09XLKZ3F6,12,,, ,
B085G2SFQW,       ,,, ,"#1,051,080 in Toys & Games ("
B08L4QSD98,    Currently unavailable.   ,,, ,"#815,065 in Toys & Games ("
B000FGECAI,       ,4.7 out of 5 stars,"17,418 ratings", ,#583 in Toys & Games (
B0051YVEQY,    Temporarily out of stock.   ,4.3 out of 5 stars,24 ratings, ,"
        "
B08BHZPDVX,       ,,, ,
B0051YVCN4,11,4.3 out of 5 stars,239 ratings, ,"
        "
B0051YV7DY,       ,5.0 out of 5 stars,3 ratings, ,"
        "
B0963XTVRR,    Currently unavailable.   ,5.0 out of 5 stars,5 ratings, ,"#459,934 in Toys & Games ("
B08L5FCNYZ,    Currently unavailable.   ,4.0 out of 5 stars,1 rating, ,"#1,043,930 in Toys & Games ("
B084KLCTG4,       ,5.0 out of 5 stars,6 ratings, ,"#469,508 in Toys & Games ("
B00BVOEV5O,8,4.7 out of 5 stars,119 ratings,,
B0051YVKXG,    Temporarily out of stock.   ,2.9 out of 5 stars,43 ratings, ,"
        "
B00KEK38JQ,       ,4.5 out of 5 stars,175 ratings, ,"#137,437 in Toys & Games ("
B00DEFIHRG,       ,4.4 out of 5 stars,29 ratings, ,"#138,982 in Toys & Games ("
B08LS9FXH7,    Currently unavailable.   ,4.0 out of 5 stars,1 rating, ,"#881,552 in Toys & Games ("
B00DT1X03G,       ,4.5 out of 5 stars,29 ratings, ,"#197,141 in Toys & Games ("
B00AKELEJM,8,4.5 out of 5 stars,"1,010 ratings", ,"#20,531 in Toys & Games ("
B08L412H3Y,    Currently unavailable.   ,,, ,"#817,879 in Toys & Games ("
B08L57QN4C,    Currently unavailable.   ,,, ,"#951,164 in Toys & Games ("
B010GRO3BS,       ,3.4 out of 5 stars,5 ratings, ,"#924,019 in Toys & Games ("
B08L42FGKP,    Currently unavailable.   ,4.0 out of 5 stars,1 rating, ,"#726,895 in Toys & Games ("
B00T14SKCQ,       ,5.0 out of 5 stars,3 ratings, ,"#802,202 in Toys & Games ("
B08K3TJ6TF,       ,,, ,"#802,155 in Toys & Games ("
B000NX3MM2,       ,3.9 out of 5 stars,25 ratings, ,"#807,651 in Toys & Games ("
B01ENH3VYM,       ,4.3 out of 5 stars,326 ratings, ,"#161,727 in Toys & Games ("
B076SW4PCC,       ,4.1 out of 5 stars,3 ratings, ,"#907,551 in Toys & Games ("
B078JRWTF8,    Currently unavailable.   ,3.7 out of 5 stars,2 ratings,,
B0051YV2DO,       ,4.2 out of 5 stars,10 ratings, ,"
        "
B09642KC7B,    Currently unavailable.   ,4.7 out of 5 stars,10 ratings, ,"#471,493 in Toys & Games ("
B010W5F9U8,19,4.4 out of 5 stars,8 ratings, ,"#805,019 in Toys & Games ("
B08L5FPV6B,    Currently unavailable.   ,,, ,"#692,173 in Toys & Games ("
B011PWIDNW,    Currently unavailable.   ,4.1 out of 5 stars,7 ratings, ,"#390,886 in Toys & Games ("
